,name,online_order,book_table,rate,votes,location,rest_type,cuisines,type,city,review_sentimen
0,Jalsa,1,1,4.1,775,1,1,3,0,1,3.0
1,Spice Elephant,1,0,4.1,787,1,1,3,0,1,3.0
2,San Churro Cafe,1,0,3.8,918,1,2,3,0,1,3.0
3,Addhuri Udupi Bhojana,0,0,3.7,88,1,1,2,0,1,3.0
4,Grand Village,0,0,3.8,166,4,1,2,0,1,3.0
5,Timepass Dinner,1,0,3.8,286,4,1,1,0,1,3.0
6,Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,57,1,4,0,1,3.0
7,Onesta,1,1,4.6,2556,1,2,3,1,1,3.0
8,Penthouse Cafe,1,0,4.0,324,1,1,3,1,1,3.0
9,Smacznego,1,0,4.2,504,1,1,5,1,1,3.0
10,CafÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,1,1,1,1,1,3.0
11,Cafe Shuffle,1,1,4.2,150,1,1,3,1,1,3.0
12,The Coffee Shack,1,1,4.2,164,1,1,4,1,1,3.0
13,Caf-Eleven,0,0,4.0,424,1,1,2,1,1,3.0
14,San Churro Cafe,1,0,3.8,918,1,2,3,1,1,3.0
15,Cafe Vivacity,1,0,3.8,90,1,1,1,1,1,3.0
16,Catch-up-ino,1,0,3.9,133,1,1,5,1,1,3.0
17,Kirthi's Biryani,1,0,3.8,144,1,1,3,1,1,3.0
18,T3H Cafe,0,0,3.9,93,1,1,3,1,1,3.0
19,360 Atoms Restaurant And Cafe,1,0,3.1,13,1,1,4,1,1,3.0
20,The Vintage Cafe,1,0,3.0,62,1,1,3,1,1,3.0
21,Woodee Pizza,1,0,3.7,180,1,1,4,1,1,3.0
22,Cafe Coffee Day,0,0,3.6,28,1,1,2,1,1,3.0
23,My Tea House,1,0,3.6,62,1,2,4,1,1,3.0
24,Hide Out Cafe,0,0,3.7,31,1,1,1,1,1,3.0
25,CAFE NOVA,0,0,3.2,11,1,1,2,1,1,3.0
26,Coffee Tindi,1,0,3.8,75,1,2,2,1,1,4.0
27,Sea Green Cafe,0,0,3.3,4,1,1,3,1,1,3.0
28,Cuppa,0,0,3.3,23,1,1,2,1,1,3.0
29,Srinathji's Cafe,0,0,3.8,148,4,2,4,1,1,3.0
30,Redberrys,1,0,4.0,219,4,1,2,1,1,3.0
31,Foodiction,1,0,2.8,506,1,1,4,2,1,1.0
32,Sweet Truth,1,0,3.9,35,1,1,2,2,1,3.0
33,Ovenstory Pizza,1,0,3.9,172,1,1,1,2,1,3.0
34,Faasos,1,0,4.2,415,1,1,3,2,1,3.0
